palabra_eliminada,tweets_no_desastre,tweets_desastre,log2_razon_desastre,es_palabra_de_contenido
found,8,42,2.6769602161113077,False
due,7,24,2.0628513697306348,False
under,14,42,1.906442062234075,False
during,14,37,1.7258698165922541,False
least,9,24,1.7218144518955683,False
two,25,65,1.7160297807898999,False
fire,56,136,1.62761029972861,True
after,74,179,1.623703634584835,False
over,53,122,1.5502030738253687,False
those,22,45,1.3709736650929667,False
were,34,68,1.344539747406303,False
than,52,85,1.0586391184437203,False
more,76,120,1.0105336147612551,False
who,69,97,0.8434213622500485,False
since,20,28,0.8303701307706033,False
in,745,1014,0.7995207286971618,False
from,174,234,0.7813930075296698,False
at,223,287,0.7183192458723652,False
may,38,48,0.6881584227161718,False
via,94,117,0.6693066435678725,False
by,235,273,0.5708458944037186,False
as,141,155,0.4911446485226655,False
through,22,23,0.4177678765719078,False
of,813,823,0.3726584252777723,False
been,89,90,0.3710622310428944,False
must,16,16,0.3550321212239453,False
here,28,28,0.3550321212239453,False
rt,41,40,0.31984269276164506,False
down,39,38,0.3180379137417436,False
other,17,16,0.27014322363743243,False
on,398,373,0.26156064002271034,False
another,35,31,0.1825649252191798,False
which,25,22,0.17445987558212447,False
call,16,14,0.16861899699306418,True
could,42,36,0.1354657439662607,False
an,130,110,0.11502868404549262,False
off,57,48,0.10945491246669777,False
first,56,47,0.10470876713970535,False
into,91,76,0.09672012563255478,False
very,17,14,0.0837300994065513,False
being,46,38,0.08265985081081527,False
still,68,56,0.07717900067860647,False
until,24,19,0.0257244959709855,False
had,58,46,0.023826212748572044,False
some,66,52,0.013995203388878443,False
part,18,14,0.003559750722567795,True
for,466,362,-0.008863964725516659,False
was,196,151,-0.020179397561710173,False
while,30,23,-0.021116364661303632,False
are,216,157,-0.10398307511550078,False
the,1382,1002,-0.10864512255584152,False
has,141,102,-0.11014602210249108,False
its,43,31,-0.1106314511248668,False
a,1019,727,-0.13181050099700495,False
few,16,11,-0.16580004207749507,False
against,22,15,-0.1826246647188544,False
us,57,39,-0.1866771815433271,False
please,31,21,-0.19598304757387305,False
whole,24,16,-0.21528360353280956,False
where,30,20,-0.2181532117208572,False
up,171,114,-0.2278288568519231,False
to,1016,676,-0.23241625464425011,False
around,22,14,-0.2788399799781573,False
our,58,37,-0.2865139078635784,False
when,141,90,-0.2897802345247317,False
many,51,32,-0.3091005929308187,False
there,80,49,-0.34652813681106204,False
this,277,169,-0.35617037687717934,False
their,56,34,-0.3566223844130733,False
before,32,19,-0.3819334729422606,False
something,17,10,-0.3819334729422608,False
have,227,133,-0.41399468217455937,False
is,537,311,-0.4320004702288754,False
next,28,16,-0.433463773582343,False
only,53,30,-0.45569752761431537,False
and,806,459,-0.45657755064266276,False
one,111,62,-0.48008349403427253,False
any,38,21,-0.485489664768858,False
now,113,61,-0.5290018607277298,False
what,119,64,-0.5346074313335493,False
most,34,18,-0.5440389699252737,False
that,328,175,-0.5493902187938237,False
we,134,70,-0.5768788889338853,False
about,132,67,-0.6180008311757852,False
last,54,27,-0.6317924900283214,False
how,123,60,-0.6744718730861379,False
with,347,169,-0.6806955832505805,False
it,305,147,-0.6954253043455807,False
back,70,32,-0.7621514181463938,True
them,56,25,-0.7927214992197469,False
too,45,20,-0.7952105143566673,False
they,121,54,-0.8015960576049094,False
but,211,94,-0.8072393076749318,False
well,28,12,-0.8340017031660718,True
him,33,14,-0.8530760741062547,False
will,171,73,-0.8673603001125028,False
get,156,66,-0.8797042902074834,False
because,50,20,-0.9456273569097658,False
even,50,20,-0.9456273569097658,False
be,270,109,-0.9496656030016966,False
take,48,19,-0.9594785021009342,False
go,63,25,-0.9612272235767249,False
nothing,21,8,-0.9837697922278134,False
everyone,34,13,-0.9986048333907552,False
also,29,11,-1.0040489720808832,False
u,47,18,-1.0053701214780528,False
all,168,65,-1.0081496584204628,False
am,45,17,-1.0234795020297847,False
find,19,7,-1.0234795020297847,True
would,90,34,-1.036289309081091,False
made,28,10,-1.0855404701620361,False
do,114,41,-1.109132235526074,False
every,40,14,-1.1268368865331073,False
keep,29,10,-1.1352935053591358,False
his,84,29,-1.1632042656963977,False
out,173,59,-1.188941968046372,False
top,39,13,-1.1938611247896893,True
so,217,72,-1.2299303794972107,False
ever,37,12,-1.2299303794972107,False
someone,28,9,-1.2299303794972107,False
why,80,26,-1.2479643023274725,False
he,119,38,-1.2790481460619019,False
if,175,56,-1.2801161366654277,False
can,116,37,-1.280335332934454,False
should,51,16,-1.2870742866008196,False
already,20,6,-1.3020801652530463,False
again,20,6,-1.3020801652530463,False
then,55,17,-1.3101007281811943,False
without,36,11,-1.3112304815990588,False
always,33,10,-1.318739646455067,False
her,78,24,-1.3248787835524736,False
see,75,23,-1.3287837664234963,False
or,149,46,-1.3298107418661285,False
these,37,11,-1.3502246132149225,False
your,193,57,-1.3956675839760897,False
she,43,12,-1.4440551848500585,False
much,44,12,-1.476845119967728,False
im,42,11,-1.5307968588567438,False
i,860,232,-1.5329123548208643,False
yourself,20,5,-1.5430882647568414,False
me,201,52,-1.5853583896378995,False
put,30,7,-1.6688146207304222,False
my,478,117,-1.6708260466970806,False
you,491,104,-1.8786563530357527,False
show,27,5,-1.9668959736634173,True
such,23,4,-2.02963172901138,False
full,81,9,-2.745768519563547,True
