ngram,frecuencia,probabilidad,n,target
suicide bomber,59,0.00589292848581702,2,1
northern california,41,0.004095085896923692,2,1
oil spill,38,0.0037954454654414702,2,1
burning buildings,36,0.003595685177786656,2,1
suicide bombing,34,0.0033959248901318418,2,1
california wildfire,34,0.0033959248901318418,2,1
bomber detonated,30,0.0029964043148222133,2,1
homes razed,29,0.002896524170994806,2,1
confirmed mh,29,0.002896524170994806,2,1
yr old,29,0.002896524170994806,2,1
razed northern,28,0.002796644027167399,2,1
latest homes,28,0.002796644027167399,2,1
pkk suicide,28,0.002796644027167399,2,1
detonated bomb,28,0.002796644027167399,2,1
old pkk,27,0.002696763883339992,2,1
severe thunderstorm,27,0.002696763883339992,2,1
mass murder,27,0.002696763883339992,2,1
outbreak legionnaires,26,0.0025968837395125848,2,1
mh malaysia,26,0.0025968837395125848,2,1
sue legionnaires,26,0.0025968837395125848,2,1
fatal outbreak,26,0.0025968837395125848,2,1
affected fatal,26,0.0025968837395125848,2,1
families affected,26,0.0025968837395125848,2,1
families sue,26,0.0025968837395125848,2,1
wreckage conclusively,25,0.0024970035956851776,2,1
legionnaires families,25,0.0024970035956851776,2,1
typhoondevastated saipan,25,0.0024970035956851776,2,1
malaysia pm,25,0.0024970035956851776,2,1
obama declares,25,0.0024970035956851776,2,1
declares disaster,25,0.0024970035956851776,2,1
disaster typhoondevastated,25,0.0024970035956851776,2,1
wild fires,25,0.0024970035956851776,2,1
conclusively confirmed,25,0.0024970035956851776,2,1
watch airport,24,0.0023971234518577705,2,1
sandstorm minute,24,0.0023971234518577705,2,1
swallowed sandstorm,24,0.0023971234518577705,2,1
airport swallowed,24,0.0023971234518577705,2,1
boy charged,23,0.0022972433080303634,2,1
hundreds migrants,22,0.0021973631642029563,2,1
turkey army,22,0.0021973631642029563,2,1
costlier bigger,22,0.0021973631642029563,2,1
refugio oil,22,0.0021973631642029563,2,1
officer wounded,22,0.0021973631642029563,2,1
bigger projected,22,0.0021973631642029563,2,1
army trench,22,0.0021973631642029563,2,1
heat wave,22,0.0021973631642029563,2,1
charged manslaughter,22,0.0021973631642029563,2,1
spill costlier,22,0.0021973631642029563,2,1
bomb turkey,22,0.0021973631642029563,2,1
rescuers searching,21,0.002097483020375549,2,1
