metrica,modelo_a_sin_negatividad,modelo_b_con_negatividad,diferencia_absoluta,sentido
accuracy,0.8128693368351937,0.7977675640183848,-0.015101772816808912,empeora
precision,0.7851622874806801,0.7661538461538462,-0.01900844132683388,empeora
recall,0.7767584097859327,0.7614678899082569,-0.015290519877675823,empeora
f1,0.7809377401998463,0.7638036809815951,-0.017134059218251174,empeora
f1_macro,0.8088069789824446,0.7934977073105449,-0.01530927167189966,empeora
roc_auc,0.8666346427930448,0.8670428592040484,0.0004082164110036368,mejora
tn,730.0,717.0,-13.0,empeora
fp,139.0,152.0,13.0,empeora
fn,146.0,156.0,10.0,empeora
tp,508.0,498.0,-10.0,empeora
