variable,tipo,faltantes,faltantes_pct,valores_unicos
id,int64,0,0.0,7613
keyword,str,61,0.8012610009194797,221
location,str,2533,33.27203467752528,3341
text,str,0,0.0,7503
target,int64,0,0.0,2
clean_text,str,0,0.0,6772
char_count,int64,0,0.0,147
word_count,int64,0,0.0,31
clean_word_count,int64,0,0.0,22
unique_word_ratio,float64,0,0.0,97
url_count,int64,0,0.0,5
mention_count,int64,0,0.0,9
hashtag_count,int64,0,0.0,13
exclamation_count,int64,0,0.0,12
question_count,int64,0,0.0,25
digit_count,int64,0,0.0,32
contains_911,int64,0,0.0,2
emoji_like_count,int64,0,0.0,16
keyword_present,int64,0,0.0,2
location_present,int64,0,0.0,2
