rango,categoria,tweets,porcentaje
"(-0.001, 0.0]",Desastre real,1362,41.638642616936714
"(-0.001, 0.0]",No desastre,2466,56.79410409949332
"(0.0, 0.2]",Desastre real,105,3.210027514521553
"(0.0, 0.2]",No desastre,195,4.491017964071856
"(0.2, 0.4]",Desastre real,364,11.128095383674717
"(0.2, 0.4]",No desastre,434,9.995393827729156
"(0.4, 0.6]",Desastre real,495,15.132986854173035
"(0.4, 0.6]",No desastre,634,14.601566098572087
"(0.6, 0.8]",Desastre real,570,17.42586365025986
"(0.6, 0.8]",No desastre,469,10.80147397512667
"(0.8, 1.0]",Desastre real,375,11.464383980434118
"(0.8, 1.0]",No desastre,144,3.316444035006909
