extremo,id,categoria,sentiment_compound,negativity,pos_word_count,neg_word_count,url_count,mention_count,hashtag_count,exclamation_count,question_count,mayusculas_pct,tokens_repetidos_max,contiene_negacion
Top 10 positivos,10028,No desastre,0.973,0.0,6,0,1,0,0,2,1,34.285714285714285,2,0
Top 10 positivos,9345,No desastre,0.9564,0.0,5,1,0,1,0,3,0,2.4390243902439024,1,0
Top 10 positivos,8989,Desastre real,0.9471,0.0,5,0,0,0,0,0,0,3.053435114503817,2,0
Top 10 positivos,8136,No desastre,0.9428,0.0,4,0,0,1,0,1,7,4.895104895104895,3,0
Top 10 positivos,4541,No desastre,0.9423,0.0,5,1,0,1,0,0,0,2.7027027027027026,2,0
Top 10 positivos,4844,No desastre,0.9423,0.0,5,1,0,1,0,0,0,2.7027027027027026,2,0
Top 10 positivos,9710,No desastre,0.9394,0.0,3,1,0,1,0,0,0,7.6923076923076925,2,0
Top 10 positivos,8994,No desastre,0.9376,0.0,5,0,1,0,0,2,2,14.285714285714286,1,0
Top 10 positivos,1453,No desastre,0.9345,0.0,4,0,0,0,0,0,0,4.761904761904762,1,1
Top 10 positivos,9386,No desastre,0.9344,0.0,5,0,0,4,0,0,6,5.755395683453237,2,0
Top 10 negativos,10689,No desastre,-0.9883,0.9883,0,13,0,0,0,0,2,0.0,11,0
Top 10 negativos,9172,Desastre real,-0.9686,0.9686,0,5,0,1,0,0,0,5.0359712230215825,2,0
Top 10 negativos,9166,Desastre real,-0.9623,0.9623,1,5,1,0,0,0,0,4.285714285714286,2,0
Top 10 negativos,9137,Desastre real,-0.9595,0.9595,0,5,1,0,0,0,1,15.107913669064748,1,0
Top 10 negativos,9782,No desastre,-0.9556,0.9556,1,3,0,1,0,0,1,12.5,2,1
Top 10 negativos,9159,Desastre real,-0.9552,0.9552,0,4,1,0,0,0,0,8.633093525179856,2,0
Top 10 negativos,4213,No desastre,-0.9549,0.9549,0,5,0,0,0,0,8,0.0,1,0
Top 10 negativos,682,Desastre real,-0.9538,0.9538,0,5,1,0,0,0,0,14.893617021276595,1,0
Top 10 negativos,2225,Desastre real,-0.9524,0.9524,1,7,0,0,0,0,0,15.217391304347826,2,0
Top 10 negativos,9940,Desastre real,-0.9493,0.9493,1,4,0,1,1,0,0,3.007518796992481,3,0
