ngram,frecuencia,probabilidad,n,target
suicide bomber detonated,30,0.004185851820845542,3,1
northern california wildfire,29,0.004046323426817358,3,1
bomber detonated bomb,28,0.003906795032789173,3,1
homes razed northern,28,0.003906795032789173,3,1
pkk suicide bomber,28,0.003906795032789173,3,1
latest homes razed,28,0.003906795032789173,3,1
old pkk suicide,27,0.0037672666387609877,3,1
razed northern california,27,0.0037672666387609877,3,1
yr old pkk,27,0.0037672666387609877,3,1
families affected fatal,26,0.003627738244732803,3,1
families sue legionnaires,26,0.003627738244732803,3,1
affected fatal outbreak,26,0.003627738244732803,3,1
declares disaster typhoondevastated,25,0.0034882098507046182,3,1
obama declares disaster,25,0.0034882098507046182,3,1
sue legionnaires families,25,0.0034882098507046182,3,1
legionnaires families affected,25,0.0034882098507046182,3,1
wreckage conclusively confirmed,25,0.0034882098507046182,3,1
disaster typhoondevastated saipan,25,0.0034882098507046182,3,1
airport swallowed sandstorm,24,0.0033486814566764337,3,1
swallowed sandstorm minute,24,0.0033486814566764337,3,1
confirmed mh malaysia,24,0.0033486814566764337,3,1
conclusively confirmed mh,24,0.0033486814566764337,3,1
mh malaysia pm,24,0.0033486814566764337,3,1
watch airport swallowed,24,0.0033486814566764337,3,1
fatal outbreak legionnaires,23,0.0032091530626482487,3,1
turkey army trench,22,0.0030696246686200642,3,1
costlier bigger projected,22,0.0030696246686200642,3,1
bomb turkey army,22,0.0030696246686200642,3,1
boy charged manslaughter,22,0.0030696246686200642,3,1
detonated bomb turkey,22,0.0030696246686200642,3,1
oil spill costlier,22,0.0030696246686200642,3,1
spill costlier bigger,22,0.0030696246686200642,3,1
refugio oil spill,22,0.0030696246686200642,3,1
officer wounded suspect,21,0.0029300962745918793,3,1
severe thunderstorm warning,21,0.0029300962745918793,3,1
typhoondevastated saipan obama,20,0.0027905678805636948,3,1
obama signs disaster,20,0.0027905678805636948,3,1
saipan obama signs,20,0.0027905678805636948,3,1
malaysia pm investigators,20,0.0027905678805636948,3,1
army trench released,20,0.0027905678805636948,3,1
pm investigators families,20,0.0027905678805636948,3,1
yearold boy charged,20,0.0027905678805636948,3,1
rescuers searching hundreds,20,0.0027905678805636948,3,1
outbreak legionnaires disea,19,0.00265103948653551,3,1
signs disaster declaration,19,0.00265103948653551,3,1
picking bodies water,18,0.0025115110925073253,3,1
disaster declaration northern,18,0.0025115110925073253,3,1
searching hundreds migrants,18,0.0025115110925073253,3,1
video picking bodies,18,0.0025115110925073253,3,1
water rescuers searching,17,0.0023719826984791403,3,1
