ngram,frecuencia,probabilidad,n,target
not,213,0.009008246986677945,1,1
news,147,0.006216959187989004,1,1
disaster,118,0.004990484246140833,1,1
california,111,0.0046944385705223095,1,1
suicide,110,0.004652146331148234,1,1
no,108,0.004567561852400085,1,1
police,107,0.0045252696130260095,1,1
people,105,0.00444068513427786,1,1
killed,93,0.003933178261788962,1,1
like,92,0.003890886022414887,1,1
hiroshima,90,0.0038063015436667373,1,1
pm,89,0.0037640093042926623,1,1
just,86,0.0036371325861704377,1,1
fires,86,0.0036371325861704377,1,1
storm,85,0.003594840346796363,1,1
crash,85,0.003594840346796363,1,1
families,81,0.0034256713893000635,1,1
train,79,0.003341086910551914,1,1
emergency,76,0.0032142101924296893,1,1
buildings,75,0.0031719179530556143,1,1
bomb,75,0.0031719179530556143,1,1
mh,72,0.0030450412349333896,1,1
nuclear,71,0.003002748995559315,1,1
wildfire,69,0.002918164516811165,1,1
attack,69,0.002918164516811165,1,1
video,69,0.002918164516811165,1,1
bombing,67,0.0028335800380630155,1,1
accident,66,0.0027912877986889404,1,1
northern,64,0.002706703319940791,1,1
burning,64,0.002706703319940791,1,1
dead,63,0.002664411080566716,1,1
legionnaires,62,0.0026221188411926413,1,1
bomber,60,0.0025375343624444912,1,1
war,58,0.0024529498836963416,1,1
homes,58,0.0024529498836963416,1,1
car,58,0.0024529498836963416,1,1
atomic,56,0.002368365404948192,1,1
new,56,0.002368365404948192,1,1
obama,54,0.0022837809262000425,1,1
fatal,54,0.0022837809262000425,1,1
years,54,0.0022837809262000425,1,1
collapse,51,0.002156904208077818,1,1
debris,50,0.002114611968703743,1,1
watch,50,0.002114611968703743,1,1
forest,50,0.002114611968703743,1,1
japan,50,0.002114611968703743,1,1
malaysia,49,0.002072319729329668,1,1
mass,48,0.0020300274899555932,1,1
latest,48,0.0020300274899555932,1,1
man,48,0.0020300274899555932,1,1
